terminal	Family	CW	AME	ALE	PME	PLE	builder	orbweb	hanging	guild	visual-incl-static	visual-pursuit	active	Largest	Smallest	rAME	rALE	rPME	rPLE	rLargest	rSmallest	rvar	var
Actinopodidae_Actinopus_insignis	Actinopodidae	5.4	0.16	0.4	0.24	0.32	1	0	0	1	0	0	0	0.4	0.16	0.02962963	0.074074074	0.044444444	0.059259259	0.074074074	0.02962963	0.000365798	0.010666667
Actinopodidae_Missulena_granulosa	Actinopodidae	11	0.25	0.25	0.2	0.25	1	0	0	1	0	0	0	0.25	0.2	0.022727273	0.022727273	0.018181818	0.022727273	0.022727273	0.018181818	5.16529E-06	0.000625
Agelenidae_Agelena_labyrinthica	Agelenidae	3.6	0.28	0.26	0.22	0.24	1	0	0	2	0	0	0	0.28	0.22	0.077777778	0.072222222	0.061111111	0.066666667	0.077777778	0.061111111	5.14403E-05	0.000666667
Agelenidae_Barronopsis_barrowsi	Agelenidae	1.9	0.15	0.15	0.15	0.15	1	0	0	2	0	0	0	0.15	0.15	0.078947368	0.078947368	0.078947368	0.078947368	0.078947368	0.078947368	0	0
Agelenidae_Draconarius_cangshanensis	Agelenidae	3.06	0.15	0.2	0.18	0.2	1	0	0	2	0	0	0	0.2	0.15	0.049019608	0.065359477	0.058823529	0.065359477	0.065359477	0.049019608	5.96281E-05	0.000558333
Agelenidae_Eratigena_atrica	Agelenidae	4.1	0.26	0.27	0.23	0.24	1	0	0	2	0	0	0	0.27	0.23	0.063414634	0.065853659	0.056097561	0.058536585	0.065853659	0.056097561	1.98295E-05	0.000333333
Agelenidae_Hololena_nedra	Agelenidae	3.35	0.17	0.16	0.15	0.18	1	0	0	2	0	0	0	0.18	0.15	0.050746269	0.047761194	0.044776119	0.053731343	0.053731343	0.044776119	1.48511E-05	0.000166667
Agelenidae_Tegenaria_domestica	Agelenidae	2.9	0.15	0.17	0.17	0.19	1	0	0	2	0	0	0	0.19	0.15	0.051724138	0.05862069	0.05862069	0.065517241	0.065517241	0.051724138	3.17083E-05	0.000266667
Amaurobiidae_Amaurobius_fenestralis	Amaurobiidae	2.46	0.15	0.18	0.16	0.16	1	0	0	2	0	0	0	0.18	0.15	0.06097561	0.073170732	0.06504065	0.06504065	0.073170732	0.06097561	2.61639E-05	0.000158333
Amaurobiidae_Amaurobius_similis	Amaurobiidae	2.75	0.14	0.15	0.13	0.13	1	0	0	2	0	0	0	0.15	0.13	0.050909091	0.054545455	0.047272727	0.047272727	0.054545455	0.047272727	1.21212E-05	9.16667E-05
Amaurobiidae_Callobius_bennetti	Amaurobiidae	3.1	0.19	0.2	0.15	0.19	1	0	0	2	0	0	0	0.2	0.15	0.061290323	0.064516129	0.048387097	0.061290323	0.064516129	0.048387097	5.1162E-05	0.000491667
Ammoxenidae_Ammoxenus_amphalodes	Ammoxenidae	1.8	0.09	0.08	0.06	0.07	0	0	0	4	0	0	0	0.09	0.06	0.05	0.044444444	0.033333333	0.038888889	0.05	0.033333333	5.14403E-05	0.000166667
Ammoxenidae_Rastellus_florisbad	Ammoxenidae	0.85	0.08	0.06	0.09	0.05	0	0	0	4	0	0	0	0.09	0.05	0.094117647	0.070588235	0.105882353	0.058823529	0.105882353	0.058823529	0.000461361	0.000333333
Anapidae_Acrobleps_hygrophilus	Anapidae	0.58	0.03	0.07	0.06	0.06	1	1	1	3	0	0	0	0.07	0.03	0.051724138	0.120689655	0.103448276	0.103448276	0.120689655	0.051724138	0.000891795	0.0003
Anapidae_Anapisona_kethleyi	Anapidae	0.49	0	0.08	0.06	0.07	1	1	1	3	0	0	0	0.08	0	0	0.163265306	0.12244898	0.142857143	0.163265306	0	0.005379703	0.001291667
Anapidae_Conculus_lyugadinus	Anapidae	0.8	0.03	0.09	0.07	0.09	1	1	1	3	0	0	0	0.09	0.03	0.0375	0.1125	0.0875	0.1125	0.1125	0.0375	0.00125	0.0008
Anapidae_Crassanapis_cekalovici	Anapidae	0.74	0.04	0.06	0.06	0.06	1	1	1	3	0	0	0	0.06	0.04	0.054054054	0.081081081	0.081081081	0.081081081	0.081081081	0.054054054	0.000182615	1E-04
Anapidae_Elanapis_aisen	Anapidae	0.41	0.03	0.06	0.05	0.05	1	1	1	3	0	0	0	0.06	0.03	0.073170732	0.146341463	0.12195122	0.12195122	0.146341463	0.073170732	0.0009419	0.000158333
Anapidae_Holarchaea_novaeseelandiae	Anapidae	0.39	0.02	0.04	0.03	0.05	0	0	0	4	0	0	0	0.05	0.02	0.051282051	0.102564103	0.076923077	0.128205128	0.128205128	0.051282051	0.00109577	0.000166667
Anapidae_Micropholcomma_sp_MR667	Anapidae	0.35	0.04	0.06	0.04	0.06	1	0	1	3	0	0	0	0.06	0.04	0.114285714	0.171428571	0.114285714	0.171428571	0.171428571	0.114285714	0.001088435	0.000133333
Anapidae_Raveniella_luteola	Anapidae	0.4	0.02	0.03	0.03	0.04	1	0	0	2	0	0	0	0.04	0.02	0.05	0.075	0.075	0.1	0.1	0.05	0.000416667	6.66667E-05
Anapidae_Tasmanapis_strahan	Anapidae	0.42	0.04	0.04	0.04	0.05	1	1	1	3	0	0	0	0.05	0.04	0.095238095	0.095238095	0.095238095	0.119047619	0.119047619	0.095238095	0.000141723	0.000025
Antrodiaetidae_Antrodiaetus_unicolor	Antrodiaetidae	5.31	0.17	0.26	0.18	0.21	1	0	0	1	0	0	0	0.26	0.17	0.032015066	0.048964218	0.033898305	0.039548023	0.048964218	0.032015066	5.79276E-05	0.001633333
Anyphaenidae_Amaurobioides_maritima	Anyphaenidae	2.45	0.09	0.14	0.12	0.17	0	0	0	4	0	0	0	0.17	0.09	0.036734694	0.057142857	0.048979592	0.069387755	0.069387755	0.036734694	0.00018881	0.001133333
Anyphaenidae_Anyphaena_accentuata	Anyphaenidae	2.13	0.1	0.15	0.11	0.12	0	0	0	5	0	0	0	0.15	0.1	0.046948357	0.070422535	0.051643192	0.056338028	0.070422535	0.046948357	0.00010286	0.000466667
Anyphaenidae_Aysha_lagenifera	Anyphaenidae	2.2	0.12	0.16	0.16	0.17	0	0	0	5	0	0		0.17	0.12	0.054545455	0.072727273	0.072727273	0.077272727	0.077272727	0.054545455	0.000101584	0.000491667
Anyphaenidae_Ferrieria_echinata	Anyphaenidae	1	0.05	0.07	0.07	0.08	0	0	0	5	0	0		0.08	0.05	0.05	0.07	0.07	0.08	0.08	0.05	0.000158333	0.000158333
Anyphaenidae_Gayenna_americana	Anyphaenidae	1.9	0.12	0.13	0.1	0.15	0	0	0	5	0	0	0	0.15	0.1	0.063157895	0.068421053	0.052631579	0.078947368	0.078947368	0.052631579	0.000120037	0.000433333
Anyphaenidae_Hatitia_canchaque	Anyphaenidae	2.1	0.13	0.18	0.15	0.16	0	0	0	5	0	0		0.18	0.13	0.061904762	0.085714286	0.071428571	0.076190476	0.085714286	0.061904762	9.82615E-05	0.000433333
Anyphaenidae_Monapia_dilaticollis	Anyphaenidae	2.02	0.12	0.15	0.12	0.15	0	0	0	5	0	0	0	0.15	0.12	0.059405941	0.074257426	0.059405941	0.074257426	0.074257426	0.059405941	7.35222E-05	0.0003
Anyphaenidae_Oxysoma_punctatum	Anyphaenidae	2.03	0.08	0.11	0.09	0.11	0	0	0	5	0	0	0	0.11	0.08	0.039408867	0.054187192	0.044334975	0.054187192	0.054187192	0.039408867	5.45997E-05	0.000225
Anyphaenidae_Oxysoma_saccatum	Anyphaenidae	2.91	0.11	0.17	0.14	0.16	0	0	0	5	0	0	0	0.17	0.11	0.037800687	0.058419244	0.048109966	0.054982818	0.058419244	0.037800687	8.26632E-05	0.0007
Anyphaenidae_Philisca_huapi	Anyphaenidae	1.59	0.1	0.09	0.11	0.1	0	0	0	5	0	0	0	0.11	0.09	0.062893082	0.056603774	0.06918239	0.062893082	0.06918239	0.056603774	2.63703E-05	6.66667E-05
Anyphaenidae_Tomopisthes_varius	Anyphaenidae	3.15	0.12	0.17	0.2	0.21	0	0	0	5	0	0		0.21	0.12	0.038095238	0.053968254	0.063492063	0.066666667	0.066666667	0.038095238	0.000164609	0.001633333
Anyphaenidae_Xiruana_gracilipes	Anyphaenidae	2.835	0.17	0.18	0.195	0.21	0	0	0	5	0	0		0.21	0.17	0.059964727	0.063492063	0.068783069	0.074074074	0.074074074	0.059964727	3.81039E-05	0.00030625
Araneidae_Araneus_diadematus	Araneidae	2.7	0.16	0.16	0.15	0.13	1	1	1	3	0	0	0	0.16	0.13	0.059259259	0.059259259	0.055555556	0.048148148	0.059259259	0.048148148	2.74348E-05	0.0002
Araneidae_Argiope_bruennichi	Araneidae	3.35	0.15	0.12	0.21	0.16	1	1	1	3	0	0	1	0.21	0.12	0.044776119	0.035820896	0.062686567	0.047761194	0.062686567	0.035820896	0.000124749	0.0014
Araneidae_Clitaetra_episinoides	Araneidae	2.5	0.19	0.14	0.14	0.19	1	1	1	3	0	0	0	0.19	0.14	0.076	0.056	0.056	0.076	0.076	0.056	0.000133333	0.000833333
Araneidae_Cyclosa_conica	Araneidae	1.46	0.11	0.07	0.1	0.08	1	1	1	3	0	0		0.11	0.07	0.075342466	0.047945205	0.068493151	0.054794521	0.075342466	0.047945205	0.000156377	0.000333333
Araneidae_Cyrtophora_citricola	Araneidae	3.351111114	0.19	0.17	0.18	0.12	1	0	1	3	0	0	0	0.19	0.12	0.056697613	0.050729443	0.053713528	0.035809019	0.056697613	0.035809019	8.60794E-05	0.000966667
Araneidae_Deliochus_zelivira	Araneidae	2.45	0.18	0.17	0.15	0.1	1	1	1	3	0	0	0	0.18	0.1	0.073469388	0.069387755	0.06122449	0.040816327	0.073469388	0.040816327	0.000211023	0.001266667
Araneidae_Eriophora_ravilla	Araneidae	5.446666667	0.32	0.16	0.23	0.22	1	1	1	3	0	0	0	0.32	0.16	0.05875153	0.029375765	0.042227662	0.040391677	0.05875153	0.029375765	0.000146913	0.004358333
Araneidae_Gasteracantha_cancriformis	Araneidae	2.91	0.15	0.12	0.13	0.12	1	1	1	3	0	0	1	0.15	0.12	0.051546392	0.041237113	0.04467354	0.041237113	0.051546392	0.041237113	2.3618E-05	0.0002
Araneidae_Herennia_etruscilla	Araneidae	5.6	0.32	0.16	0.19	0.19	1	1	1	3	0	0	0	0.32	0.16	0.057142857	0.028571429	0.033928571	0.033928571	0.057142857	0.028571429	0.000162628	0.0051
Araneidae_Herennia_multipuncta	Araneidae	5.07	0.2	0.125	0.19	0.125	1	1	1	3	0	0	0	0.2	0.125	0.039447732	0.024654832	0.037475345	0.024654832	0.039447732	0.024654832	6.41901E-05	0.00165
Araneidae_Larinioides_cornutus	Araneidae	1.505	0.144	0.142	0.142	0.142	1	1	1	3	0	0	0	0.144	0.142	0.095681063	0.094352159	0.094352159	0.094352159	0.095681063	0.094352159	4.41496E-07	0.000001
Araneidae_Mangora_maculata	Araneidae	1.4	0.12	0.08	0.12	0.09	1	1	1	3	0	0		0.12	0.08	0.085714286	0.057142857	0.085714286	0.064285714	0.085714286	0.057142857	0.000216837	0.000425
Araneidae_Mecynogea_lemniscata	Araneidae	1.943333333	0.143333333	0.09	0.143333333	0.116666667	1	0	1	3	0	0	0	0.143333333	0.09	0.073756432	0.046312178	0.073756432	0.060034305	0.073756432	0.046312178	0.000172605	0.000651852
Araneidae_Metepeira_labyrinthea	Araneidae	2.15	0.16	0.07	0.14	0.08	1	1	1	3	0	0	1	0.16	0.07	0.074418605	0.03255814	0.065116279	0.037209302	0.074418605	0.03255814	0.000423652	0.001958333
Araneidae_Micrathena_gracilis	Araneidae	2.285	0.12	0.115	0.14	0.09	1	1	1	3	0	0		0.14	0.09	0.052516411	0.050328228	0.061269147	0.039387309	0.061269147	0.039387309	8.09995E-05	0.000422917
Araneidae_Nephila_pilipes	Araneidae	8.625	0.42	0.4	0.315	0.26	1	1	1	3	0	0		0.42	0.26	0.048695652	0.046376812	0.036521739	0.030144928	0.048695652	0.030144928	7.49142E-05	0.005572917
Araneidae_Nephilengys_malabarensis	Araneidae	6	0.39	0.28	0.31	0.177	1	1	1	3	0	0	0	0.39	0.177	0.065	0.046666667	0.051666667	0.0295	0.065	0.0295	0.000215433	0.007755583
Araneidae_Nephilingis_cruentata	Araneidae	7.1	0.38	0.25	0.25	0.23	1	1	1	3	0	0	0	0.38	0.23	0.053521127	0.035211268	0.035211268	0.032394366	0.053521127	0.032394366	9.43926E-05	0.004758333
Araneidae_Oarces_reticulatus	Araneidae	1.09	0.08	0.1	0.08	0.07	0	0	0	6	0	0		0.1	0.07	0.073394495	0.091743119	0.073394495	0.064220183	0.091743119	0.064220183	0.000133266	0.000158333
Araneidae_Phonognatha_graeffei	Araneidae	3	0.18	0.12	0.16	0.13	1	1	1	3	0	0	1	0.18	0.12	0.06	0.04	0.053333333	0.043333333	0.06	0.04	8.42593E-05	0.000758333
Araneidae_Trichonephila_clavipes	Araneidae	7.37	0.28	0.2	0.24	0.21	1	1	1	3	0	0		0.28	0.2	0.037991859	0.027137042	0.03256445	0.028493894	0.037991859	0.027137042	2.37802E-05	0.001291667
Araneidae_Trichonephila_fenestrata	Araneidae	4.38	0.19	0.2	0.19	0.16	1	1	1	3	0	0		0.2	0.16	0.043378995	0.0456621	0.043378995	0.03652968	0.0456621	0.03652968	1.56377E-05	0.0003
Araneidae_Zygiella_atrica	Araneidae	1.39	0.11	0.09	0.1	0.11	1	1	1	3	0	0	0	0.11	0.09	0.079136691	0.064748201	0.071942446	0.079136691	0.079136691	0.064748201	4.74441E-05	9.16667E-05
Araneidae_Zygiella_x-notata	Araneidae	2.47	0.17	0.19	0.15	0.12	1	1	1	3	0	0	0	0.19	0.12	0.068825911	0.076923077	0.060728745	0.048582996	0.076923077	0.048582996	0.000146153	0.000891667
Archaeidae_Afrarchaea_woodae	Archaeidae	0.7	0.11	0.09	0.07	0.06	0	0	0	5	0	0	0	0.11	0.06	0.157142857	0.128571429	0.1	0.085714286	0.157142857	0.085714286	0.001003401	0.000491667
Archaeidae_Austrarchaea_dianneae	Archaeidae	1.21	0.13	0.12	0.1	0.09	0	0	0	5	0	0	0	0.13	0.09	0.107438017	0.099173554	0.082644628	0.074380165	0.107438017	0.074380165	0.000227671	0.000333333
Archaeidae_Austrarchaea_nodosa	Archaeidae	1.03	0.11	0.1	0.09	0.09	0	0	0	5	0	0	0	0.11	0.09	0.106796117	0.097087379	0.087378641	0.087378641	0.106796117	0.087378641	8.64046E-05	9.16667E-05
Arkyidae_Arkys_cornutus	Arkyidae	2.74	0.12	0.21	0.2	0.13	0	0	0	6	0	0	0	0.21	0.12	0.04379562	0.076642336	0.072992701	0.047445255	0.076642336	0.04379562	0.000288596	0.002166667
Atypidae_Atypus_affinis	Atypidae	4.77	0.21	0.15	0.2	0.12	1	0	0	1	0	0	0	0.21	0.12	0.044025157	0.031446541	0.041928721	0.025157233	0.044025157	0.025157233	7.91108E-05	0.0018
Austrochilidae_Austrochilus_forsteri	Austrochilidae	4.93	0.3	0.4	0.32	0.36	1	0	1	3	0	0	0	0.4	0.3	0.060851927	0.081135903	0.064908722	0.073022312	0.081135903	0.060851927	8.09165E-05	0.001966667
Austrochilidae_Austrochilus_franckei	Austrochilidae	2.89	0.11	0.18	0.2	0.2	1	0	1	3	0	0	0	0.2	0.11	0.038062284	0.062283737	0.069204152	0.069204152	0.069204152	0.038062284	0.000218508	0.001825
Austrochilidae_Austrochilus_newtoni	Austrochilidae	3.73	0.14	0.24	0.17	0.25	1	0	1	3	0	0	0	0.25	0.14	0.037533512	0.064343164	0.045576408	0.067024129	0.067024129	0.037533512	0.000206044	0.002866667
Austrochilidae_Hickmania_troglodytes	Austrochilidae	5.88	0.28	0.43	0.38	0.4	1	0	1	3	0	0	0	0.43	0.28	0.047619048	0.073129252	0.06462585	0.068027211	0.073129252	0.047619048	0.0001222	0.004225
Austrochilidae_Thaida_peculiaris	Austrochilidae	3.935	0.225	0.27	0.275	0.275	1	0	1	3	0	0	0	0.275	0.225	0.057179161	0.068614994	0.069885642	0.069885642	0.069885642	0.057179161	3.80764E-05	0.000589583
Barychelidae_Synothele_arrakis	Barychelidae	4.69	0.13	0.11	0.07	0.13	1	0	0	1	0	0	0	0.13	0.07	0.02771855	0.023454158	0.014925373	0.02771855	0.02771855	0.014925373	3.63701E-05	0.0008
Caponiidae_Nops_hispaniola	Caponiidae	2.1	0.09	0	0	0	0	0	0	4	0	0	0	0.09	0	0.042857143	0	0	0	0.042857143	0	0.000459184	0.002025
Caponiidae_Nops_sp_Jaragua	Caponiidae	2.39	0.24	0	0	0	0	0	0	4	0	0	0	0.24	0	0.10041841	0	0	0	0.10041841	0	0.002520964	0.0144
